category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topassists,10008,Kaio Jorge,135,Cruzeiro,629,2025,21,1544,14,5,51
topassists,25398,William,135,Cruzeiro,629,2025,17,1093,,4,10
topassists,12705,Hulk,1062,Atletico-MG,629,2025,19,1571,4,3,41
topassists,305980,Douglas Pelé,13975,Athletic Club,629,2025,19,1271,1,3,10
topassists,309792,Kaiki,135,Cruzeiro,629,2025,20,1766,,3,19
topassists,10174,Gabriel Barbosa,135,Cruzeiro,629,2025,21,544,5,2,18
topassists,305837,Figueiredo,125,America Mineiro,629,2025,16,1361,4,2,29
topassists,9967,Igor Gomes,1062,Atletico-MG,629,2025,21,833,3,2,12
topassists,67204,Christian,135,Cruzeiro,629,2025,15,1174,3,2,17
topassists,9926,Gustavo Scarpa,1062,Atletico-MG,629,2025,22,1647,2,2,24
topassists,143365,Fabinho,125,America Mineiro,629,2025,8,626,2,2,17
topassists,10061,Yuri,13975,Athletic Club,629,2025,16,690,,2,5
topassists,195111,Gabriel Menino,1062,Atletico-MG,629,2025,18,725,1,1,8
topassists,296064,Miqueias,125,America Mineiro,629,2025,16,961,1,1,9
topassists,6031,T. Cuello,1062,Atletico-MG,629,2025,15,1194,1,1,24
topassists,405239,Alexsandro Amorim,13975,Athletic Club,629,2025,12,881,1,1,10
topassists,422150,Jonathan,135,Cruzeiro,629,2025,19,375,,1,
topassists,1432,Y. Bolasie,135,Cruzeiro,629,2025,18,127,,1,3
topassists,434,Mariano,125,America Mineiro,629,2025,15,854,,1,
topassists,415159,Samuel,125,America Mineiro,629,2025,11,230,,1,
