category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topscorers,12705,Hulk,1062,Atletico-MG,629,2024,23,1826,10,5,48
topscorers,143365,Fabinho,125,America Mineiro,629,2024,31,1784,8,3,35
topscorers,35534,E. Vargas,1062,Atletico-MG,629,2024,23,872,8,2,26
topscorers,25390,Jonathas,13975,Athletic Club,629,2024,10,664,7,,
topscorers,16669,G. Mastriani,125,America Mineiro,629,2024,2,142,6,,
topscorers,10368,Brenner,125,America Mineiro,629,2024,23,1063,6,0,21
topscorers,238379,Luís Felipe,12277,Ipatinga,629,2024,10,694,5,,
topscorers,25398,William,135,Cruzeiro,629,2024,34,2964,5,5,37
topscorers,9842,Juninho,125,America Mineiro,629,2024,34,2938,4,3,29
topscorers,360303,Renato Marques,125,America Mineiro,629,2024,30,1149,4,2,29
topscorers,352376,Rodriguinho,125,America Mineiro,629,2024,25,1081,4,2,17
topscorers,64358,Magno,13084,Pouso Alegre,629,2024,12,924,4,,
topscorers,238546,Bruno Vieira,13080,Democrata GV,629,2024,11,892,4,,
topscorers,9926,Gustavo Scarpa,1062,Atletico-MG,629,2024,33,2157,4,5,45
topscorers,9259,Alê,125,America Mineiro,629,2024,32,2595,3,1,26
topscorers,452879,Felipe Moreira,13084,Pouso Alegre,629,2024,11,976,3,,
topscorers,432479,Rafael da Conceição,13975,Athletic Club,629,2024,10,447,3,,
topscorers,455091,Robert Santos,13975,Athletic Club,629,2024,7,515,3,,
topscorers,13409,J. Dinenno,135,Cruzeiro,629,2024,7,237,3,0,8
topscorers,6052,Á. Barreal,135,Cruzeiro,629,2024,30,1495,2,4,26
